id,label,modularity_class,degree
0,931500,0,5
1,2081804,0,1
2,541200,0,4
3,941400,0,3
4,71700,0,4
5,511000,0,1
6,81000,0,6
7,131100,0,4
8,71600,0,2
9,181800,0,4
10,241500,0,2
11,121900,0,1
12,181300,0,6
13,531000,0,1
14,171700,0,4
15,381500,0,8
16,411200,0,2
17,1604,0,1
18,671304,0,1
19,1100,0,4
20,251900,0,2
21,111800,0,1
22,431700,0,4
23,401500,0,11
24,451600,0,6
25,51300,0,13
26,481004,0,1
27,311400,0,9
28,191600,0,5
29,51304,0,4
30,391600,0,1
31,451700,0,1
32,251000,0,2
33,101000,0,1
34,301200,0,1
35,411800,0,6
36,211100,0,7
37,471200,0,1
38,91300,0,5
39,961704,0,3
40,521900,0,2
41,1204,0,2
42,931000,0,3
43,551100,0,1
44,371400,0,6
45,381900,0,6
46,191700,0,3
47,541400,0,1
48,161504,0,4
49,161000,0,5
50,881900,0,1
51,911600,0,1
52,241400,0,3
53,151804,0,1
54,531200,0,1
55,411400,0,1
56,941100,0,2
57,31000,0,1
58,171804,0,1
59,111904,0,3
60,491700,0,8
61,141604,0,1
62,381404,0,1
63,251700,0,6
64,501300,0,10
65,311100,0,1
66,311104,0,1
67,191200,0,1
68,761500,0,1
69,71000,0,1
70,451400,0,1
71,161104,0,1
72,351800,0,1
73,361300,0,3
74,391000,0,1
75,521700,0,6
76,551500,0,6
77,11100,0,5
78,211600,0,1
79,761200,0,1
80,231800,0,2
81,371304,0,1
82,861000,0,2
83,401300,0,1
84,891800,0,6
85,261700,0,1
86,191900,0,6
87,591004,0,5
88,221100,0,4
89,481200,0,3
90,541000,0,1
91,181500,0,2
92,271800,0,2
93,301500,0,4
94,941000,0,1
95,231500,0,1
96,701900,0,1
97,11000,0,2
98,91604,0,4
99,151000,0,5
100,321500,0,3
101,231904,0,4
102,481104,0,6
103,351204,0,1
104,91900,0,1
105,521200,0,1
106,131600,0,5
107,81400,0,1
108,41300,0,5
109,111100,0,10
