source,target,type,id,label,weight
19,21,Directed,0,,2
19,37,Directed,1,,2
19,42,Directed,2,,9
19,3,Directed,3,,2
108,25,Directed,4,,217
108,101,Directed,5,,2
108,90,Directed,6,,1
25,77,Directed,7,,3
25,108,Directed,8,,233
25,8,Directed,9,,6
25,11,Directed,10,,1
25,36,Directed,11,,4
25,63,Directed,12,,4
25,23,Directed,13,,2
29,45,Directed,14,,2
29,16,Directed,15,,4
29,35,Directed,16,,3
4,99,Directed,17,,2
4,58,Directed,18,,317
4,89,Directed,19,,1
6,91,Directed,20,,9
6,63,Directed,21,,3
6,74,Directed,22,,6
6,24,Directed,23,,2
38,86,Directed,24,,1
38,20,Directed,25,,2
38,30,Directed,26,,1
38,60,Directed,27,,1
38,50,Directed,28,,1
98,77,Directed,29,,2
98,44,Directed,30,,1
98,23,Directed,31,,1
98,60,Directed,32,,4
109,97,Directed,33,,17
109,12,Directed,34,,1
109,78,Directed,35,,1
109,10,Directed,36,,11
109,20,Directed,37,,2
109,27,Directed,38,,1
109,40,Directed,39,,1
109,79,Directed,40,,1
59,77,Directed,41,,50
59,9,Directed,42,,103
59,46,Directed,43,,1
7,88,Directed,44,,23
7,15,Directed,45,,1
7,54,Directed,46,,7
99,25,Directed,47,,1
99,4,Directed,48,,3
99,92,Directed,49,,1
99,23,Directed,50,,1
49,61,Directed,51,,81
49,28,Directed,52,,7
49,5,Directed,53,,12
48,46,Directed,54,,1
48,36,Directed,55,,2
48,23,Directed,56,,20
14,106,Directed,57,,1
14,15,Directed,58,,1
14,2,Directed,59,,35
12,109,Directed,60,,6
12,27,Directed,61,,5
12,22,Directed,62,,6
9,41,Directed,63,,390
9,77,Directed,64,,90
9,92,Directed,65,,1
28,57,Directed,66,,3
28,49,Directed,67,,8
28,70,Directed,68,,15
86,104,Directed,69,,5
86,10,Directed,70,,1
86,105,Directed,71,,1
86,76,Directed,72,,10
36,25,Directed,73,,1
36,23,Directed,74,,1
36,96,Directed,75,,2
88,7,Directed,76,,37
88,95,Directed,77,,17
88,64,Directed,78,,1
101,108,Directed,79,,5
101,46,Directed,80,,1
101,36,Directed,81,,1
63,25,Directed,82,,3
63,6,Directed,83,,3
63,34,Directed,84,,7
63,103,Directed,85,,60
93,97,Directed,86,,45
93,49,Directed,87,,1
93,13,Directed,88,,2
27,109,Directed,89,,3
27,106,Directed,90,,7
27,12,Directed,91,,3
27,52,Directed,92,,1
27,15,Directed,93,,4
27,89,Directed,94,,7
100,40,Directed,95,,2
100,18,Directed,96,,9
100,1,Directed,97,,58
73,107,Directed,98,,5
73,106,Directed,99,,1
73,84,Directed,100,,1
44,41,Directed,101,,379
44,17,Directed,102,,48
44,71,Directed,103,,41
44,52,Directed,104,,3
44,84,Directed,105,,1
15,106,Directed,106,,165
15,53,Directed,107,,3
15,27,Directed,108,,8
15,89,Directed,109,,4
45,66,Directed,110,,18
45,35,Directed,111,,19
45,64,Directed,112,,8
23,25,Directed,113,,6
23,33,Directed,114,,3
23,48,Directed,115,,2
23,36,Directed,116,,8
23,51,Directed,117,,4
23,3,Directed,118,,1
35,32,Directed,119,,1
35,45,Directed,120,,12
35,64,Directed,121,,7
22,106,Directed,122,,22
22,12,Directed,123,,4
22,93,Directed,124,,4
24,6,Directed,125,,1
24,65,Directed,126,,1
24,75,Directed,127,,19
24,43,Directed,128,,77
102,25,Directed,129,,9
102,69,Directed,130,,3
102,8,Directed,131,,31
102,55,Directed,132,,51
102,31,Directed,133,,11
102,94,Directed,134,,7
60,62,Directed,135,,131
60,76,Directed,136,,1
60,0,Directed,137,,44
60,56,Directed,138,,6
64,29,Directed,139,,556
64,85,Directed,140,,3
64,15,Directed,141,,1
64,45,Directed,142,,13
64,16,Directed,143,,3
64,35,Directed,144,,10
64,84,Directed,145,,1
75,91,Directed,146,,1
75,81,Directed,147,,2
75,24,Directed,148,,80
75,26,Directed,149,,2
75,82,Directed,150,,23
2,14,Directed,151,,49
2,67,Directed,152,,1
2,47,Directed,153,,2
76,86,Directed,154,,12
76,32,Directed,155,,15
76,42,Directed,156,,1
76,3,Directed,157,,11
87,77,Directed,158,,5
87,52,Directed,159,,6
87,72,Directed,160,,1
87,68,Directed,161,,3
87,82,Directed,162,,8
84,28,Directed,163,,1
84,80,Directed,164,,1
84,42,Directed,165,,1
0,83,Directed,166,,1
0,60,Directed,167,,23
0,56,Directed,168,,16
39,80,Directed,169,,15
39,60,Directed,170,,4
39,0,Directed,171,,3
