id,label,modularity_class,degree
330,425800,0,2
331,1343307,1,1
332,16207,1,1
333,946007,1,1
334,288600,0,1
335,962407,1,1
336,458600,0,1
337,759100,0,4
338,360300,0,1
339,1907,1,1
340,483200,0,1
341,1046407,1,1
342,542600,0,2
343,1818507,1,1
344,303000,0,1
345,460700,0,1
346,1736607,1,1
347,60400,0,7
348,1023907,1,1
349,8107,1,1
350,473007,1,1
351,894900,0,2
352,890807,1,1
353,1769407,1,1
354,1773507,1,1
355,954700,0,1
356,2000,0,1
357,817107,1,1
358,131407,1,2
359,129000,0,1
360,47100,0,1
361,58307,1,1
