id,label,modularity_class,degree
0,260100,0,1
1,882700,0,1
2,997407,1,1
3,391200,0,1
4,911400,0,1
5,139307,1,1
6,92207,1,1
7,868200,0,1
8,505907,1,1
9,411700,0,1
10,2107,1,2
11,270400,0,1
12,534600,0,1
13,120907,1,2
14,231507,1,1
15,495700,0,1
16,1937507,1,1
17,358500,0,1
18,413800,0,1
19,1386607,1,1
20,323700,0,1
21,20600,0,1
22,28800,0,1
23,900800,0,1
24,391300,0,1
25,395400,0,1
26,2085007,1,1
27,608400,0,1
28,348307,1,2
29,872600,0,1
30,57507,1,1
31,1341607,1,1
32,1767607,1,1
33,86200,0,2
34,1003707,1,1
35,991707,1,1
36,544800,0,1
37,563400,0,1
38,207,1,11
39,418000,0,1
40,119000,0,1
41,422107,1,1
42,938207,1,2
43,891600,0,1
44,387300,0,1
45,159100,0,1
46,446700,0,2
47,88307,1,1
48,915700,0,1
49,368900,0,1
50,117000,0,1
51,10507,1,2
52,483600,0,1
53,31000,0,1
54,956707,1,2
55,2087207,1,1
56,1835307,1,1
57,409900,0,1
58,1839407,1,1
59,1186107,1,1
60,272700,0,1
61,217407,1,1
62,276800,0,1
63,938307,1,1
64,229700,0,1
65,545100,0,1
66,1001807,1,3
67,33107,1,1
68,672107,1,1
69,117100,0,1
70,940400,0,1
71,1762707,1,1
72,141707,1,1
73,1071507,1,1
74,930207,1,1
75,375200,0,1
76,432200,0,2
77,1841907,1,1
78,59807,1,1
79,301500,0,1
80,1298507,1,1
81,412107,1,2
82,160207,1,1
83,223700,0,1
84,70107,1,1
85,338407,1,1
86,201200,0,1
87,999507,1,1
88,934400,0,4
89,916907,1,2
90,1045007,1,1
91,1155607,1,1
92,919300,0,1
93,92700,0,1
94,344607,1,2
95,254507,1,2
96,211500,0,1
97,310707,1,2
98,936507,1,1
99,74300,0,1
100,991807,1,1
101,271800,0,4
102,90707,1,1
103,457300,0,1
104,1067607,1,1
105,461400,0,1
106,256100,0,1
107,252507,1,1
108,469600,0,1
109,1387107,1,1
110,529000,0,1
111,17007,1,1
112,25207,1,4
113,340600,0,1
114,348800,0,1
115,49800,0,1
116,1018507,1,1
117,361100,0,1
118,211600,0,1
119,1745007,1,1
120,176800,0,1
121,334500,0,1
122,23207,1,4
123,1008307,1,2
124,426100,0,1
125,1016507,1,1
126,1737407,1,1
127,128800,0,2
128,1737307,1,2
129,115400,0,1
130,162507,1,2
131,328400,0,1
132,994007,1,1
133,809707,1,1
134,869100,0,1
135,301807,1,1
136,1022707,1,1
137,1342207,1,2
138,131200,0,1
139,484100,0,1
140,992007,1,2
141,949007,1,1
142,489807,1,2
143,547607,1,2
144,83907,1,1
145,299807,1,1
146,172507,1,2
147,56100,0,1
148,170800,0,1
149,478007,1,1
150,230200,0,1
151,451400,0,1
152,404300,0,1
153,502607,1,1
154,310100,0,1
155,1022807,1,1
156,1342307,1,1
157,824807,1,1
158,1346707,1,1
159,547700,0,1
160,295800,0,1
161,402300,0,1
162,48000,0,2
163,43907,1,2
164,418700,0,6
165,375700,0,1
166,379800,0,1
167,789407,1,1
168,1766307,1,1
169,545700,0,1
170,187307,1,1
171,721007,1,4
172,199600,0,2
173,861000,0,1
174,873400,0,1
175,263100,0,1
176,165707,1,1
177,146107,1,1
178,932807,1,1
179,381900,0,1
180,181200,0,1
181,197600,0,1
182,1016807,1,1
183,983207,1,1
184,1537007,1,1
185,521200,0,1
186,525300,0,1
187,427000,0,1
188,1190907,1,1
189,140300,0,1
190,954200,0,1
191,762900,0,1
192,93207,1,2
193,511000,0,1
194,83000,0,1
195,312400,0,1
196,1393507,1,1
197,111700,0,1
198,939100,0,2
199,550000,0,1
200,356200,0,2
201,89207,1,1
202,50300,0,1
203,302207,1,1
204,416900,0,1
205,1039507,1,1
206,535700,0,3
207,19607,1,1
208,791707,1,1
209,189600,0,1
210,1004707,1,1
211,1930407,1,1
212,304300,0,1
213,1068207,1,1
214,457907,1,1
215,1336507,1,3
216,427200,0,1
217,1344707,1,1
218,892100,0,1
219,994507,1,1
220,443600,0,1
221,81107,1,1
222,191700,0,1
223,105700,0,1
224,156907,1,1
225,374000,0,2
226,685300,0,1
227,118007,1,2
228,124800,0,1
229,1930507,1,1
230,1021207,1,1
231,159000,0,1
232,824607,1,3
233,163107,1,3
234,683307,1,1
235,384300,0,1
236,439600,0,1
237,133000,0,2
238,392500,0,1
239,857400,0,1
240,187707,1,1
241,42300,0,1
242,204100,0,1
243,265100,0,1
244,109900,0,1
245,523600,0,2
246,271700,0,3
247,275800,0,1
248,924900,0,1
249,996707,1,1
250,189800,0,1
251,381500,0,2
252,402800,0,1
253,961907,1,1
254,1017207,1,1
255,875900,0,1
256,1349007,1,1
257,789907,1,1
258,1019307,1,1
259,208307,1,1
260,62900,0,1
261,323000,0,1
262,506100,0,1
263,826307,1,1
264,935500,0,1
265,706000,0,1
266,1361507,1,1
267,44500,0,5
268,1836507,1,1
269,359900,0,2
270,1738207,1,1
271,364000,0,1
272,1336807,1,1
273,1762807,1,1
274,793507,1,1
275,908800,0,1
276,149000,0,1
277,1019407,1,1
278,101907,1,1
279,523800,0,1
280,1390107,1,1
281,169507,1,1
282,433700,0,1
283,284200,0,1
284,394800,0,2
285,257600,0,1
286,930400,0,1
287,1848907,1,1
288,884300,0,1
289,222800,0,2
290,823907,1,2
291,274007,1,2
292,900700,0,1
293,128607,1,3
294,350307,1,1
295,956007,1,1
296,648807,1,1
297,878200,0,1
298,929407,1,1
299,421507,1,1
300,173700,0,3
301,485007,1,1
302,335507,1,1
303,32407,1,1
304,915100,0,1
305,304800,0,1
306,931507,1,1
307,1400507,1,1
308,286400,0,1
309,85700,0,1
310,1340707,1,1
311,3807,1,1
312,437200,0,1
313,575207,1,1
314,1933607,1,1
315,977507,1,1
316,241400,0,1
317,501500,0,1
318,812800,0,1
319,40707,1,1
320,151300,0,1
321,368400,0,1
322,427807,1,1
323,487200,0,1
324,384807,1,1
325,290600,0,1
326,94000,0,1
327,298807,1,1
328,955700,0,1
329,1736507,1,3
