source,target,type,id,label,weight
356,215,Directed,0,,11
21,66,Directed,1,,2
22,167,Directed,2,,2
53,227,Directed,3,,4
241,232,Directed,4,,2
267,107,Directed,5,,8
267,249,Directed,6,,18
267,287,Directed,7,,21
267,211,Directed,8,,1
267,229,Directed,9,,17
360,38,Directed,10,,2
162,192,Directed,11,,2
162,133,Directed,12,,2
115,81,Directed,13,,28
202,95,Directed,14,,2
147,61,Directed,15,,1
347,125,Directed,16,,2
347,277,Directed,17,,2
347,230,Directed,18,,2
347,136,Directed,19,,2
347,155,Directed,20,,2
347,348,Directed,21,,2
347,270,Directed,22,,7
260,38,Directed,23,,1
99,256,Directed,24,,7
194,97,Directed,25,,1
309,8,Directed,26,,9
33,38,Directed,27,,3
33,352,Directed,28,,4
93,142,Directed,29,,2
326,273,Directed,30,,6
223,119,Directed,31,,2
244,74,Directed,32,,19
197,301,Directed,33,,1
129,233,Directed,34,,5
50,38,Directed,35,,2
69,281,Directed,36,,1
40,158,Directed,37,,1
228,10,Directed,38,,1
127,332,Directed,39,,5
127,140,Directed,40,,3
359,358,Directed,41,,2
138,122,Directed,42,,1
237,19,Directed,43,,1
237,346,Directed,44,,1
189,78,Directed,45,,2
276,38,Directed,46,,1
320,54,Directed,47,,4
231,219,Directed,48,,20
45,28,Directed,49,,4
148,234,Directed,50,,1
300,215,Directed,51,,1
300,329,Directed,52,,198
300,128,Directed,53,,2
120,171,Directed,54,,14
180,34,Directed,55,,3
209,59,Directed,56,,3
250,31,Directed,57,,7
222,177,Directed,58,,4
181,324,Directed,59,,2
172,306,Directed,60,,2
172,335,Directed,61,,2
86,163,Directed,62,,1
242,182,Directed,63,,1
96,6,Directed,64,,12
118,81,Directed,65,,16
289,208,Directed,66,,1
289,58,Directed,67,,1
83,183,Directed,68,,1
64,122,Directed,69,,1
150,144,Directed,70,,6
316,42,Directed,71,,1
106,135,Directed,72,,2
285,143,Directed,73,,2
0,89,Directed,74,,8
175,157,Directed,75,,1
243,171,Directed,76,,6
11,176,Directed,77,,4
246,171,Directed,78,,8
246,98,Directed,79,,3
246,2,Directed,80,,2
101,38,Directed,81,,3
101,97,Directed,82,,258
101,280,Directed,83,,2
101,126,Directed,84,,2
60,214,Directed,85,,1
247,290,Directed,86,,1
62,89,Directed,87,,2
283,294,Directed,88,,28
308,253,Directed,89,,2
334,298,Directed,90,,8
325,77,Directed,91,,1
160,302,Directed,92,,3
79,122,Directed,93,,1
344,322,Directed,94,,1
212,357,Directed,95,,1
305,72,Directed,96,,2
154,141,Directed,97,,1
195,201,Directed,98,,1
261,112,Directed,99,,6
20,207,Directed,100,,8
131,80,Directed,101,,1
121,358,Directed,102,,4
113,331,Directed,103,,4
114,132,Directed,104,,2
200,51,Directed,105,,2
200,116,Directed,106,,1
17,122,Directed,107,,2
269,13,Directed,108,,3
269,68,Directed,109,,1
338,123,Directed,110,,4
117,38,Directed,111,,1
271,168,Directed,112,,3
321,146,Directed,113,,2
49,327,Directed,114,,1
225,63,Directed,115,,1
225,258,Directed,116,,1
75,42,Directed,117,,1
165,38,Directed,118,,1
166,313,Directed,119,,1
251,38,Directed,120,,2
251,310,Directed,121,,2
179,156,Directed,122,,1
235,232,Directed,123,,3
44,217,Directed,124,,18
3,130,Directed,125,,2
24,354,Directed,126,,1
238,254,Directed,127,,4
284,153,Directed,128,,2
284,16,Directed,129,,10
25,221,Directed,130,,2
161,146,Directed,131,,2
252,10,Directed,132,,6
152,361,Directed,133,,4
57,111,Directed,134,,1
9,82,Directed,135,,1
18,142,Directed,136,,1
204,67,Directed,137,,1
39,293,Directed,138,,4
164,87,Directed,139,,93
164,210,Directed,140,,3
164,205,Directed,141,,4
164,329,Directed,142,,60
164,128,Directed,143,,2
164,343,Directed,144,,1
330,38,Directed,145,,6
330,149,Directed,146,,6
124,224,Directed,147,,15
187,112,Directed,148,,3
216,130,Directed,149,,14
76,295,Directed,150,,2
76,26,Directed,151,,2
282,47,Directed,152,,2
312,233,Directed,153,,2
236,259,Directed,154,,1
220,263,Directed,155,,1
46,145,Directed,156,,1
46,203,Directed,157,,1
151,112,Directed,158,,2
103,91,Directed,159,,1
336,215,Directed,160,,11
345,38,Directed,161,,1
105,41,Directed,162,,3
108,73,Directed,163,,1
340,13,Directed,164,,2
52,311,Directed,165,,2
139,30,Directed,166,,1
323,54,Directed,167,,2
15,293,Directed,168,,1
317,349,Directed,169,,1
262,233,Directed,170,,14
193,178,Directed,171,,81
185,274,Directed,172,,2
245,102,Directed,173,,1
245,143,Directed,174,,2
279,291,Directed,175,,8
186,84,Directed,176,,1
110,123,Directed,177,,2
12,227,Directed,178,,2
206,232,Directed,179,,7
206,32,Directed,180,,1
206,55,Directed,181,,1
342,51,Directed,182,,1
342,5,Directed,183,,6
36,315,Directed,184,,4
65,14,Directed,185,,2
169,112,Directed,186,,4
159,109,Directed,187,,1
199,299,Directed,188,,2
37,293,Directed,189,,1
27,170,Directed,190,,1
226,95,Directed,191,,3
265,291,Directed,192,,6
337,192,Directed,193,,65
337,28,Directed,194,,4
337,35,Directed,195,,70
337,100,Directed,196,,78
191,307,Directed,197,,10
318,339,Directed,198,,3
239,163,Directed,199,,1
173,184,Directed,200,,4
7,296,Directed,201,,4
134,266,Directed,202,,2
29,272,Directed,203,,3
174,290,Directed,204,,1
255,329,Directed,205,,12
297,350,Directed,206,,9
1,94,Directed,207,,2
288,278,Directed,208,,2
43,56,Directed,209,,9
218,85,Directed,210,,2
351,94,Directed,211,,1
351,333,Directed,212,,4
292,319,Directed,213,,4
23,213,Directed,214,,1
275,137,Directed,215,,5
4,137,Directed,216,,2
304,303,Directed,217,,2
48,257,Directed,218,,10
92,66,Directed,219,,2
248,66,Directed,220,,4
286,188,Directed,221,,1
88,240,Directed,222,,10
88,140,Directed,223,,15
88,341,Directed,224,,4
88,104,Directed,225,,15
264,171,Directed,226,,49
198,71,Directed,227,,4
198,353,Directed,228,,1
70,196,Directed,229,,1
190,268,Directed,230,,2
355,314,Directed,231,,1
328,90,Directed,232,,2
