source,target,type,id,label,weight
30,18,Undirected,0,,5
62,18,Undirected,1,,5
55,18,Undirected,2,,5
23,18,Undirected,3,,5
36,18,Undirected,4,,5
30,18,Undirected,5,,5
47,18,Undirected,6,,5
23,18,Undirected,7,,5
18,0,Undirected,8,,5
42,18,Undirected,9,,5
33,18,Undirected,10,,5
61,18,Undirected,11,,5
62,18,Undirected,12,,5
31,18,Undirected,13,,5
23,18,Undirected,14,,5
18,5,Undirected,15,,5
46,18,Undirected,16,,5
53,18,Undirected,17,,5
52,18,Undirected,18,,5
39,18,Undirected,19,,5
18,10,Undirected,20,,5
31,18,Undirected,21,,5
23,18,Undirected,22,,5
18,0,Undirected,23,,5
18,13,Undirected,24,,5
42,18,Undirected,25,,5
18,8,Undirected,26,,5
40,30,Undirected,27,,5
44,30,Undirected,28,,5
61,54,Undirected,29,,5
55,2,Undirected,30,,5
55,26,Undirected,31,,5
55,7,Undirected,32,,5
55,34,Undirected,33,,5
55,9,Undirected,34,,5
55,1,Undirected,35,,5
60,55,Undirected,36,,5
55,50,Undirected,37,,5
55,16,Undirected,38,,5
55,3,Undirected,39,,5
31,10,Undirected,40,,5
36,23,Undirected,41,,5
37,5,Undirected,42,,5
40,30,Undirected,43,,5
38,30,Undirected,44,,5
55,22,Undirected,45,,5
55,26,Undirected,46,,5
55,19,Undirected,47,,5
56,55,Undirected,48,,5
64,55,Undirected,49,,5
58,55,Undirected,50,,5
31,21,Undirected,51,,5
31,6,Undirected,52,,5
31,11,Undirected,53,,5
31,10,Undirected,54,,5
31,20,Undirected,55,,5
31,27,Undirected,56,,5
36,23,Undirected,57,,5
63,23,Undirected,58,,5
24,23,Undirected,59,,5
57,23,Undirected,60,,5
40,30,Undirected,61,,5
61,17,Undirected,62,,5
61,15,Undirected,63,,5
55,41,Undirected,64,,5
55,26,Undirected,65,,5
55,51,Undirected,66,,5
55,35,Undirected,67,,5
58,55,Undirected,68,,5
55,12,Undirected,69,,5
55,48,Undirected,70,,5
31,29,Undirected,71,,5
59,31,Undirected,72,,5
31,10,Undirected,73,,5
43,31,Undirected,74,,5
32,31,Undirected,75,,5
49,31,Undirected,76,,5
25,23,Undirected,77,,5
14,5,Undirected,78,,5
28,5,Undirected,79,,5
37,5,Undirected,80,,5
5,4,Undirected,81,,5
45,5,Undirected,82,,5
